date,week_day,total,social_networking,reading_and_reference,other,productivity,health_and_fitness,entertainment,yoga
4/17/2019,Wednesday,187,89,17,41,22,0,0,0
4/18/2019,Thursday,123,78,17,8,9,0,0,0
4/19/2019,Friday,112,52,40,8,4,0,3,0
4/20/2019,Saturday,101,69,9,38,2,0,3,0
4/21/2019,Sunday,56,35,2,43,3,0,2,0
4/22/2019,Monday,189,88,0,59,3,4,0,0
4/23/2019,Tuesday,158,56,18,41,12,15,0,0
4/24/2019,Wednesday,135,98,3,33,16,0,0,0
4/25/2019,Thursday,52,25,7,3,16,0,0,0
4/26/2019,Friday,198,76,8,29,15,0,32,0
4/27/2019,Saturday,116,75,10,20,5,0,0,0
4/28/2019,Sunday,85,42,22,4,2,0,0,0
4/29/2019,Monday,109,46,8,13,9,15,1,1
4/30/2019,Tuesday,79,40,2,9,12,0,0,1
5/1/2019,Wednesday,127,80,0,10,7,10,0,1
5/2/2019,Thursday,104,60,23,10,11,0,0,1
5/3/2019,Friday,91,54,2,18,5,9,3,1
5/4/2019,Saturday,58,34,4,5,3,0,1,1
5/5/2019,Sunday,133,90,5,1,3,19,0,1
5/6/2019,Monday,124,81,4,5,13,0,0,1
5/7/2019,Tuesday,110,70,5,6,15,0,9,1
5/8/2019,Wednesday,122,53,25,26,15,3,0,1
5/9/2019,Thursday,96,42,15,16,19,0,0,1
5/10/2019,Friday,161,78,19,17,20,27,0,1
5/11/2019,Saturday,58,49,1,2,2,2,2,1
5/12/2019,Sunday,52,28,1,1,6,0,1,1
5/13/2019,Monday,61,37,1,0,4,0,0,1
5/14/2019,Tuesday,88,41,2,7,15,0,0,1
